student_name,"skills",years_of_experience,cgpa,projects,label
Rohan Gupta,"Embedded Systems, Python, Machine Learning, C Programming, PCB Design",2.5,9.64,Robotics Arm,1
Kiran Sharma,"Embedded Systems, Python, Machine Learning, MATLAB, Signal Processing",4.9,9.6,Smart Home Automation,1
Rahul Patel,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",2,9.12,AI Based Fault Detection,1
Arjun Sharma,"Embedded Systems, Python, Machine Learning, Verilog, IoT",2.5,9.47,FPGA Based Design,1
Arjun Singh,"Embedded Systems, Python, Machine Learning, VLSI Design, Signal Processing",1.7,7.97,Signal Analyzer,1
Arjun Singh,"Embedded Systems, Python, Machine Learning, Verilog, C Programming",4.3,9.47,Wireless Communication Model,1
Rahul Iyer,"Embedded Systems, Python, Machine Learning, PCB Design, Verilog",2.8,8.37,Signal Analyzer,1
Arjun Yadav,"Embedded Systems, Python, Machine Learning, MATLAB, Verilog",1.1,8.36,IoT Weather Station,1
Rahul Naidu,"Embedded Systems, Python, Machine Learning, MATLAB, Signal Processing",4.7,7.86,Signal Analyzer,1
Rohan Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",4.7,8.91,Smart Home Automation,1
Arjun Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",4.9,8.26,AI Based Fault Detection,1
Vihaan Sharma,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",4.5,8.24,AI Based Fault Detection,1
Aditya Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",4.8,9.55,Robotics Arm,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, IoT, C Programming",1.4,7.74,Robotics Arm,1
Aarav Patel,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",2.6,9.76,IoT Weather Station,1
Vihaan Kumar,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",2.7,9.11,Smart Home Automation,1
Vikram Verma,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",3,9.87,Signal Analyzer,1
Rahul Patel,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",3.7,9.26,AI Based Fault Detection,1
Aditya Patel,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",2.8,8.34,Image Processing System,1
Aarav Patel,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",2.2,7.73,Robotics Arm,1
Rahul Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, Signal Processing",4.6,7.74,FPGA Based Design,1
Sai Iyer,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",1.5,8.21,AI Based Fault Detection,1
Vikram Yadav,"Embedded Systems, Python, Machine Learning, IoT, Signal Processing",2.6,7.61,AI Based Fault Detection,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, Verilog, IoT",1.1,9.7,FPGA Based Design,1
Rohan Gupta,"Embedded Systems, Python, Machine Learning, VLSI Design, C Programming",1.8,8.43,AI Based Fault Detection,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",3.8,8.09,Signal Analyzer,1
Vihaan Verma,"Embedded Systems, Python, Machine Learning, IoT, MATLAB",2.1,7.86,AI Based Fault Detection,1
Krishna Kumar,"Embedded Systems, Python, Machine Learning, MATLAB, Verilog",1.5,7.74,Robotics Arm,1
Rohan Iyer,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",3.5,7.99,AI Based Fault Detection,1
Rahul Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",2.8,8.54,IoT Weather Station,1
Rahul Sharma,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",3.2,9.23,Robotics Arm,1
Arjun Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",5,8.49,IoT Weather Station,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",2.5,9.43,AI Based Fault Detection,1
Aditya Iyer,"Embedded Systems, Python, Machine Learning, C Programming, VLSI Design",4.2,7.7,Smart Home Automation,1
Aditya Sharma,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",1.9,9.87,Signal Analyzer,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",2.6,8.21,Robotics Arm,1
Vihaan Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",3,7.94,Signal Analyzer,1
Rohan Gupta,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",3.3,8.89,Wireless Communication Model,1
Sai Reddy,"Embedded Systems, Python, Machine Learning, MATLAB, C Programming",1.6,8.48,IoT Weather Station,1
Kiran Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",3.7,8.96,AI Based Fault Detection,1
Rohan Patel,"Embedded Systems, Python, Machine Learning, C Programming, PCB Design",4.4,7.5,IoT Weather Station,1
Vikram Verma,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",4.7,7.56,Signal Analyzer,1
Krishna Sharma,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",4.7,8.56,IoT Weather Station,1
Rohan Yadav,"Embedded Systems, Python, Machine Learning, IoT, Verilog",4.8,8.44,AI Based Fault Detection,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, IoT, Signal Processing",4.1,7.73,AI Based Fault Detection,1
Vihaan Gupta,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",2.4,9.95,Image Processing System,1
Aarav Naidu,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",1.4,7.79,FPGA Based Design,1
Vihaan Naidu,"Embedded Systems, Python, Machine Learning, MATLAB, Signal Processing",4.2,9.69,Image Processing System,1
Krishna Sharma,"Embedded Systems, Python, Machine Learning, VLSI Design, Signal Processing",2.4,7.91,Image Processing System,1
Aditya Patel,"Embedded Systems, Python, Machine Learning, IoT, MATLAB",1.4,8.96,AI Based Fault Detection,1
Rahul Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",1.5,8.28,AI Based Fault Detection,1
Krishna Singh,"Embedded Systems, Python, Machine Learning, Verilog, VLSI Design",3.8,9.12,IoT Weather Station,1
Aarav Singh,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",4.3,8.97,Image Processing System,1
Aarav Reddy,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",2.2,8.37,Signal Analyzer,1
Aditya Singh,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",4.1,7.76,Smart Home Automation,1
Rohan Iyer,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",1.8,9.11,Wireless Communication Model,1
Krishna Iyer,"Embedded Systems, Python, Machine Learning, C Programming, VLSI Design",2.8,7.76,Signal Analyzer,1
Aditya Reddy,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",2.1,9.61,Smart Home Automation,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, Verilog, VLSI Design",3.7,7.99,Signal Analyzer,1
Arjun Patel,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",2.3,8.11,Signal Analyzer,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",1.9,9.47,Smart Home Automation,1
Rohan Kumar,"Embedded Systems, Python, Machine Learning, MATLAB, C Programming",1.8,8.93,FPGA Based Design,1
Krishna Singh,"Embedded Systems, Python, Machine Learning, C Programming, VLSI Design",4.2,8.43,Image Processing System,1
Sai Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, Signal Processing",1.2,8.06,AI Based Fault Detection,1
Arjun Singh,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",2,7.75,Wireless Communication Model,1
Vihaan Iyer,"Embedded Systems, Python, Machine Learning, Verilog, IoT",4.2,9.12,Image Processing System,1
Sai Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, Signal Processing",2.6,9.25,Smart Home Automation,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, MATLAB, PCB Design",3.8,8.52,Wireless Communication Model,1
Rohan Singh,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",3.3,9.42,AI Based Fault Detection,1
Aditya Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",2.4,9.19,Signal Analyzer,1
Kiran Patel,"Embedded Systems, Python, Machine Learning, MATLAB, Signal Processing",1.2,8.17,Wireless Communication Model,1
Aarav Verma,"Embedded Systems, Python, Machine Learning, IoT, Verilog",1.7,7.52,Robotics Arm,1
Vikram Verma,"Embedded Systems, Python, Machine Learning, C Programming, PCB Design",2.9,9.65,Robotics Arm,1
Sai Naidu,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",3,9.48,AI Based Fault Detection,1
Rahul Kumar,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",4.7,7.64,Image Processing System,1
Vihaan Gupta,"Embedded Systems, Python, Machine Learning, IoT, Verilog",3.2,9.42,FPGA Based Design,1
Vikram Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",1.7,8.3,IoT Weather Station,1
Rahul Naidu,"Embedded Systems, Python, Machine Learning, IoT, C Programming",2.9,9.53,FPGA Based Design,1
Kiran Sharma,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",3.7,9.99,Wireless Communication Model,1
Rohan Singh,"Embedded Systems, Python, Machine Learning, Verilog, C Programming",2.4,8.89,FPGA Based Design,1
Rohan Gupta,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",4.1,9.56,Image Processing System,1
Rohan Naidu,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",4.3,8.7,AI Based Fault Detection,1
Kiran Iyer,"Embedded Systems, Python, Machine Learning, Verilog, Signal Processing",1.6,8.43,Image Processing System,1
Aarav Sharma,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",4.7,8.32,AI Based Fault Detection,1
Kiran Iyer,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",3.9,9.88,IoT Weather Station,1
Rohan Iyer,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",3.9,8.11,FPGA Based Design,1
Sai Yadav,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",3.6,7.94,Robotics Arm,1
Rohan Patel,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",4.6,9.51,Smart Home Automation,1
Rohan Iyer,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",4.4,7.81,FPGA Based Design,1
Aarav Patel,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",3.6,8.57,Signal Analyzer,1
Rohan Patel,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",4.2,8.68,Smart Home Automation,1
Aarav Patel,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",4.9,9.49,Signal Analyzer,1
Rahul Patel,"Embedded Systems, Python, Machine Learning, C Programming, PCB Design",1,7.76,FPGA Based Design,1
Sai Singh,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",1.3,7.93,Image Processing System,1
Aarav Kumar,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",3.1,9.9,Robotics Arm,1
Rahul Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",1,8,FPGA Based Design,1
Sai Kumar,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",3.3,9.46,Robotics Arm,1
Sai Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",2.7,8.49,Robotics Arm,1
Aarav Yadav,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",4,7.84,FPGA Based Design,1
Aditya Gupta,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",4.9,7.52,Wireless Communication Model,1
Kiran Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",2.4,7.85,Smart Home Automation,1
Aditya Yadav,"Embedded Systems, Python, Machine Learning, C Programming, PCB Design",3.3,7.97,Signal Analyzer,1
Sai Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, IoT",3.1,9.31,AI Based Fault Detection,1
Krishna Iyer,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",2.5,8.77,AI Based Fault Detection,1
Sai Sharma,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",1.3,8.49,Robotics Arm,1
Vikram Naidu,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",4.9,8.16,IoT Weather Station,1
Vihaan Verma,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",2.2,9.31,Robotics Arm,1
Vikram Sharma,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",3.5,9.04,AI Based Fault Detection,1
Rahul Singh,"Embedded Systems, Python, Machine Learning, C Programming, VLSI Design",4.1,8.9,Wireless Communication Model,1
Rahul Sharma,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",2.2,9.5,Robotics Arm,1
Rahul Singh,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",3.4,9.64,IoT Weather Station,1
Vikram Kumar,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",1.7,8.85,Image Processing System,1
Vihaan Yadav,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",3.1,8.57,Signal Analyzer,1
Krishna Naidu,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",4.5,9.75,IoT Weather Station,1
Vikram Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",1.6,9.37,Signal Analyzer,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",1.3,8.19,Signal Analyzer,1
Kiran Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",1.4,9.39,IoT Weather Station,1
Aditya Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",2.6,9.83,Signal Analyzer,1
Arjun Reddy,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",1.2,9.37,AI Based Fault Detection,1
Arjun Singh,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",1.2,9.82,Image Processing System,1
Krishna Verma,"Embedded Systems, Python, Machine Learning, Signal Processing, PCB Design",2,9.11,IoT Weather Station,1
Vikram Sharma,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",2.4,8.38,FPGA Based Design,1
Kiran Sharma,"Embedded Systems, Python, Machine Learning, IoT, Verilog",1.7,8.74,IoT Weather Station,1
Vikram Iyer,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",4.9,9.89,Smart Home Automation,1
Vikram Iyer,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",3.8,9.31,Smart Home Automation,1
Rohan Verma,"Embedded Systems, Python, Machine Learning, Verilog, C Programming",2.1,8.73,AI Based Fault Detection,1
Aditya Singh,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",4.4,8.9,FPGA Based Design,1
Aarav Yadav,"Embedded Systems, Python, Machine Learning, C Programming, IoT",3.2,8.33,Smart Home Automation,1
Aarav Verma,"Embedded Systems, Python, Machine Learning, C Programming, IoT",3.1,7.93,IoT Weather Station,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",2.2,8.27,Wireless Communication Model,1
Vihaan Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, Signal Processing",2.1,8.92,FPGA Based Design,1
Aditya Verma,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",4.6,8.05,AI Based Fault Detection,1
Vihaan Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, PCB Design",3.6,7.55,Image Processing System,1
Kiran Sharma,"Embedded Systems, Python, Machine Learning, VLSI Design, C Programming",1.5,7.55,Robotics Arm,1
Vihaan Singh,"Embedded Systems, Python, Machine Learning, VLSI Design, C Programming",2.3,8.82,Signal Analyzer,1
Aditya Singh,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",3,8.75,AI Based Fault Detection,1
Aditya Verma,"Embedded Systems, Python, Machine Learning, Verilog, IoT",2.9,9.81,Smart Home Automation,1
Rohan Verma,"Embedded Systems, Python, Machine Learning, Verilog, Signal Processing",4.6,9.28,IoT Weather Station,1
Kiran Kumar,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",2.2,7.73,Signal Analyzer,1
Arjun Verma,"Embedded Systems, Python, Machine Learning, MATLAB, PCB Design",1.8,7.82,Smart Home Automation,1
Aarav Reddy,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",4.2,8.98,IoT Weather Station,1
Rohan Naidu,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",2.5,8.74,Robotics Arm,1
Krishna Kumar,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",3.8,7.59,Wireless Communication Model,1
Vikram Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, C Programming",1.4,9.09,Image Processing System,1
Aarav Verma,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",1.7,9.79,IoT Weather Station,1
Vikram Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",4.9,9.38,Image Processing System,1
Aditya Kumar,"Embedded Systems, Python, Machine Learning, IoT, MATLAB",2.4,8.37,IoT Weather Station,1
Aarav Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",4.2,9.39,Robotics Arm,1
Krishna Kumar,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",3.2,9.39,Robotics Arm,1
Aditya Kumar,"Embedded Systems, Python, Machine Learning, IoT, C Programming",3.1,9.08,IoT Weather Station,1
Rohan Patel,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",4.6,8.07,Smart Home Automation,1
Arjun Yadav,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",1.2,9.76,AI Based Fault Detection,1
Krishna Gupta,"Embedded Systems, Python, Machine Learning, Verilog, IoT",1.1,9.07,Image Processing System,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",4.7,7.62,Image Processing System,1
Krishna Singh,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",1.3,9.04,FPGA Based Design,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, MATLAB, Signal Processing",3.9,8.49,Image Processing System,1
Rahul Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",4.1,10,IoT Weather Station,1
Vikram Verma,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",1.7,9.11,Signal Analyzer,1
Aditya Sharma,"Embedded Systems, Python, Machine Learning, MATLAB, C Programming",3.8,7.75,FPGA Based Design,1
Vihaan Naidu,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",3.7,8.1,IoT Weather Station,1
Sai Reddy,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",2.6,9.99,IoT Weather Station,1
Vihaan Naidu,"Embedded Systems, Python, Machine Learning, IoT, MATLAB",2.3,9.79,IoT Weather Station,1
Aditya Singh,"Embedded Systems, Python, Machine Learning, IoT, PCB Design",4.7,8.63,IoT Weather Station,1
Arjun Patel,"Embedded Systems, Python, Machine Learning, PCB Design, C Programming",3.2,8.08,AI Based Fault Detection,1
Kiran Kumar,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",3.2,7.82,Smart Home Automation,1
Rahul Sharma,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",1.1,7.72,IoT Weather Station,1
Kiran Patel,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",1.9,8.76,Signal Analyzer,1
Kiran Patel,"Embedded Systems, Python, Machine Learning, MATLAB, C Programming",2.6,7.97,Smart Home Automation,1
Rahul Kumar,"Embedded Systems, Python, Machine Learning, C Programming, VLSI Design",4,9.93,Signal Analyzer,1
Vihaan Sharma,"Embedded Systems, Python, Machine Learning, Verilog, IoT",1.5,9.35,FPGA Based Design,1
Krishna Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",4.5,8.37,Signal Analyzer,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",4.6,9.34,Wireless Communication Model,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",3.6,8.68,IoT Weather Station,1
Arjun Naidu,"Embedded Systems, Python, Machine Learning, PCB Design, Signal Processing",4.6,9.83,Wireless Communication Model,1
Vikram Yadav,"Embedded Systems, Python, Machine Learning, PCB Design, Verilog",4.2,8.44,Robotics Arm,1
Arjun Iyer,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",2.9,8.33,Image Processing System,1
Aarav Sharma,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",2.8,7.67,Wireless Communication Model,1
Vihaan Sharma,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",1.8,8.21,FPGA Based Design,1
Krishna Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",1.1,9.54,IoT Weather Station,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",4.3,7.73,AI Based Fault Detection,1
Vihaan Patel,"Embedded Systems, Python, Machine Learning, Signal Processing, IoT",3.8,9.29,Robotics Arm,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, VLSI Design, PCB Design",4.6,9.69,AI Based Fault Detection,1
Kiran Verma,"Embedded Systems, Python, Machine Learning, PCB Design, IoT",2.7,9.9,AI Based Fault Detection,1
Kiran Patel,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",1.7,9.56,Image Processing System,1
Rahul Gupta,"Embedded Systems, Python, Machine Learning, Signal Processing, PCB Design",4.3,9.2,Signal Analyzer,1
Vikram Patel,"Embedded Systems, Python, Machine Learning, Verilog, Signal Processing",3.9,8.62,IoT Weather Station,1
Vihaan Kumar,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",4.7,8.47,Smart Home Automation,1
Rohan Singh,"Embedded Systems, Python, Machine Learning, Signal Processing, IoT",1.9,9.54,Wireless Communication Model,1
Vikram Naidu,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",3.9,7.94,Wireless Communication Model,1
Rohan Verma,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",3.1,7.74,IoT Weather Station,1
Rahul Singh,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",2.8,9.99,FPGA Based Design,1
Rahul Verma,"Embedded Systems, Python, Machine Learning, MATLAB, PCB Design",4.4,8.47,IoT Weather Station,1
Rahul Iyer,"Embedded Systems, Python, Machine Learning, IoT, C Programming",1.1,7.53,Robotics Arm,1
Krishna Yadav,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",2.2,8.88,Image Processing System,1
Aditya Patel,"Embedded Systems, Python, Machine Learning, MATLAB, Verilog",1.4,8.27,IoT Weather Station,1
Aarav Iyer,"Embedded Systems, Python, Machine Learning, MATLAB, VLSI Design",2.3,8.04,AI Based Fault Detection,1
Aditya Singh,"Embedded Systems, Python, Machine Learning, Verilog, IoT",4.5,8.61,Wireless Communication Model,1
Aditya Reddy,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",3.1,9.72,AI Based Fault Detection,1
Rahul Iyer,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",2.1,9.97,FPGA Based Design,1
Arjun Reddy,"Embedded Systems, Python, Machine Learning, Verilog, PCB Design",2.7,7.73,FPGA Based Design,1
Kiran Gupta,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",4.5,9.74,AI Based Fault Detection,1
Kiran Naidu,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",3.8,8.34,IoT Weather Station,1
Krishna Gupta,"Embedded Systems, Python, Machine Learning, IoT, Verilog",4.2,8.72,FPGA Based Design,1
Arjun Yadav,"Embedded Systems, Python, Machine Learning, Signal Processing, VLSI Design",4.7,7.58,IoT Weather Station,1
Rahul Verma,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",2,8.64,Robotics Arm,1
Arjun Kumar,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",1.9,7.66,Smart Home Automation,1
Vihaan Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",3.8,9.1,Wireless Communication Model,1
Arjun Verma,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",2,8.12,Signal Analyzer,1
Vikram Kumar,"Embedded Systems, Python, Machine Learning, MATLAB, IoT",4,9,IoT Weather Station,1
Rahul Verma,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",2.3,9.35,Robotics Arm,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, VLSI Design, MATLAB",2.6,9.74,Smart Home Automation,1
Kiran Gupta,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",1.5,7.96,FPGA Based Design,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, VLSI Design, C Programming",2,9.98,AI Based Fault Detection,1
Aditya Reddy,"Embedded Systems, Python, Machine Learning, IoT, Verilog",1.7,9.66,FPGA Based Design,1
Arjun Singh,"Embedded Systems, Python, Machine Learning, C Programming, Signal Processing",1.5,7.64,Signal Analyzer,1
Rahul Patel,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",1.4,8.34,Signal Analyzer,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, Verilog, MATLAB",3.3,7.72,Robotics Arm,1
Vikram Sharma,"Embedded Systems, Python, Machine Learning, IoT, C Programming",3.4,9.28,Signal Analyzer,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, VLSI Design, Verilog",2.4,7.75,Robotics Arm,1
Arjun Gupta,"Embedded Systems, Python, Machine Learning, MATLAB, Verilog",2.5,9.4,IoT Weather Station,1
Kiran Kumar,"Embedded Systems, Python, Machine Learning, Signal Processing, PCB Design",1.7,9.46,Signal Analyzer,1
Aditya Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",1.7,9.96,Image Processing System,1
Sai Sharma,"Embedded Systems, Python, Machine Learning, MATLAB, VLSI Design",3.8,8.74,Image Processing System,1
Rahul Yadav,"Embedded Systems, Python, Machine Learning, Signal Processing, PCB Design",1.3,7.85,IoT Weather Station,1
Vihaan Verma,"Embedded Systems, Python, Machine Learning, Signal Processing, VLSI Design",2,8.01,Smart Home Automation,1
Arjun Sharma,"Embedded Systems, Python, Machine Learning, Verilog, C Programming",1.2,9.93,Image Processing System,1
Kiran Gupta,"Embedded Systems, Python, Machine Learning, C Programming, MATLAB",3.2,9.85,Signal Analyzer,1
Krishna Verma,"Embedded Systems, Python, Machine Learning, C Programming, Verilog",1,7.68,FPGA Based Design,1
Arjun Verma,"Embedded Systems, Python, Machine Learning, Signal Processing, Verilog",4.4,9.58,Image Processing System,1
Krishna Kumar,"Embedded Systems, Python, Machine Learning, MATLAB, Verilog",3,9.47,Signal Analyzer,1
Vihaan Sharma,"Embedded Systems, Python, Machine Learning, Signal Processing, MATLAB",4.5,8.39,FPGA Based Design,1
Vihaan Iyer,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",2.3,9.49,AI Based Fault Detection,1
Aditya Sharma,"Embedded Systems, Python, Machine Learning, IoT, Verilog",1.8,8.71,FPGA Based Design,1
Rohan Reddy,"Embedded Systems, Python, Machine Learning, IoT, Signal Processing",4.6,9.69,Robotics Arm,1
Sai Reddy,"Embedded Systems, Python, Machine Learning, Signal Processing, C Programming",4.8,8.26,Image Processing System,1
Vikram Yadav,"Embedded Systems, Python, Machine Learning, IoT, VLSI Design",1.2,8.9,AI Based Fault Detection,1
Sai Gupta,"Embedded Systems, Python, Machine Learning, VLSI Design, IoT",3.4,8.96,AI Based Fault Detection,1
Vikram Iyer,"Embedded Systems, Python, Machine Learning, PCB Design, VLSI Design",1.1,7.95,FPGA Based Design,1
Vihaan Gupta,"Embedded Systems, Python, Machine Learning, PCB Design, MATLAB",3.8,9.65,FPGA Based Design,1
Vikram Patel,"Embedded Systems, Python, Machine Learning, IoT, Verilog",1.4,8.25,IoT Weather Station,1
Kiran Singh,"Embedded Systems, Python, Machine Learning, MATLAB, PCB Design",4.2,9.6,AI Based Fault Detection,1
